date,close,high,low,open
2020-05-01 18:40:00+00:00,4.41,4.41,4.395,4.395
2020-05-01 18:50:00+00:00,4.435,4.435,4.41,4.41
2020-05-01 19:00:00+00:00,4.435,4.44,4.43,4.435
2020-05-01 19:10:00+00:00,4.5,4.52,4.435,4.435
2020-05-01 19:20:00+00:00,4.49,4.5,4.475,4.5
2020-05-01 19:30:00+00:00,4.42,4.49,4.42,4.49
2020-05-01 19:40:00+00:00,4.48,4.48,4.39,4.41
2020-05-01 19:50:00+00:00,4.54,4.585,4.48,4.48
2020-05-01 20:00:00+00:00,4.54,4.54,4.54,4.54
2020-05-04 13:30:00+00:00,4.38,4.48,4.0,4.06
2020-05-04 13:40:00+00:00,4.52,4.535,4.33,4.45
2020-05-04 13:50:00+00:00,4.475,4.52,4.37,4.52
2020-05-04 14:00:00+00:00,4.61,4.69,4.475,4.485
2020-05-04 14:10:00+00:00,4.735,4.735,4.615,4.615
2020-05-04 14:20:00+00:00,4.56,4.735,4.515,4.735
2020-05-04 14:30:00+00:00,4.53,4.56,4.515,4.56
2020-05-04 14:40:00+00:00,4.55,4.595,4.53,4.53
2020-05-04 14:50:00+00:00,4.5,4.55,4.48,4.55
2020-05-04 15:00:00+00:00,4.52,4.52,4.485,4.5
2020-05-04 15:10:00+00:00,4.505,4.515,4.5,4.5
2020-05-04 15:20:00+00:00,4.475,4.51,4.475,4.505
2020-05-04 15:30:00+00:00,4.495,4.495,4.47,4.495
2020-05-04 15:40:00+00:00,4.495,4.495,4.495,4.495
2020-05-04 15:50:00+00:00,4.51,4.51,4.495,4.495
2020-05-04 16:00:00+00:00,4.585,4.585,4.53,4.53
2020-05-04 16:10:00+00:00,4.57,4.63,4.565,4.6
2020-05-04 16:20:00+00:00,4.555,4.57,4.505,4.57
2020-05-04 16:30:00+00:00,4.505,4.555,4.505,4.555
2020-05-04 16:40:00+00:00,4.505,4.525,4.505,4.505
2020-05-04 16:50:00+00:00,4.505,4.51,4.505,4.505
2020-05-04 17:00:00+00:00,4.505,4.515,4.5,4.505
2020-05-04 17:10:00+00:00,4.405,4.505,4.4,4.505
2020-05-04 17:20:00+00:00,4.435,4.435,4.405,4.405
2020-05-04 17:30:00+00:00,4.385,4.395,4.38,4.395
2020-05-04 17:40:00+00:00,4.355,4.385,4.355,4.385
2020-05-04 17:50:00+00:00,4.37,4.385,4.355,4.355
2020-05-04 18:00:00+00:00,4.385,4.405,4.37,4.37
2020-05-04 18:10:00+00:00,4.405,4.415,4.385,4.4
2020-05-04 18:20:00+00:00,4.37,4.405,4.37,4.405
2020-05-04 18:30:00+00:00,4.35,4.37,4.35,4.37
2020-05-04 18:40:00+00:00,4.305,4.35,4.3,4.35
2020-05-04 18:50:00+00:00,4.325,4.34,4.305,4.34
2020-05-04 19:00:00+00:00,4.315,4.315,4.3,4.315
2020-05-04 19:10:00+00:00,4.305,4.335,4.305,4.32
2020-05-04 19:20:00+00:00,4.295,4.32,4.295,4.305
2020-05-04 19:30:00+00:00,4.335,4.34,4.295,4.295
2020-05-04 19:40:00+00:00,4.315,4.36,4.315,4.335
